SP;UNIVERSIDADE FEDERAL DE SÃO CARLOS;UFSCAR;São Carlos;UNIDADE SEDE;CIÊNCIAS BIOLÓGICAS ;Bacharelado;Integral;30;264839
SP;UNIVERSIDADE FEDERAL DE SÃO CARLOS;UFSCAR;São Carlos;UNIDADE SEDE;CIÊNCIAS BIOLÓGICAS ;Licenciatura;Integral;30;264783
SP;UNIVERSIDADE FEDERAL DE SÃO CARLOS;UFSCAR;São Carlos;UNIDADE SEDE;CIÊNCIAS SOCIAIS;Bacharelado;Integral;90;264788
SP;UNIVERSIDADE FEDERAL DE SÃO CARLOS;UFSCAR;São Carlos;UNIDADE SEDE;EDUCAÇÃO ESPECIAL;Licenciatura;Integral;40;264819
SP;UNIVERSIDADE FEDERAL DE SÃO CARLOS;UFSCAR;São Carlos;UNIDADE SEDE;EDUCAÇÃO FÍSICA;Bacharelado;Integral;30;264841
SP;UNIVERSIDADE FEDERAL DE SÃO CARLOS;UFSCAR;São Carlos;UNIDADE SEDE;EDUCAÇÃO FÍSICA;Licenciatura;Integral;30;264792
SP;UNIVERSIDADE FEDERAL DE SÃO CARLOS;UFSCAR;São Carlos;UNIDADE SEDE;ENFERMAGEM;Bacharelado;Integral;30;264785
SP;UNIVERSIDADE FEDERAL DE SÃO CARLOS;UFSCAR;São Carlos;UNIDADE SEDE;ENGENHARIA CIVIL;Bacharelado;Integral;80;264780
SP;UNIVERSIDADE FEDERAL DE SÃO CARLOS;UFSCAR;São Carlos;UNIDADE SEDE;ENGENHARIA DE COMPUTAÇÃO;Bacharelado;Integral;30;264789
SP;UNIVERSIDADE FEDERAL DE SÃO CARLOS;UFSCAR;São Carlos;UNIDADE SEDE;ENGENHARIA DE MATERIAIS;Bacharelado;Integral;80;264781
SP;UNIVERSIDADE FEDERAL DE SÃO CARLOS;UFSCAR;São Carlos;UNIDADE SEDE;ENGENHARIA DE PRODUÇÃO;Bacharelado;Integral;100;264800
SP;UNIVERSIDADE FEDERAL DE SÃO CARLOS;UFSCAR;São Carlos;UNIDADE SEDE;ENGENHARIA ELÉTRICA;Bacharelado;Integral;60;264835
SP;UNIVERSIDADE FEDERAL DE SÃO CARLOS;UFSCAR;São Carlos;UNIDADE SEDE;ENGENHARIA FÍSICA;Bacharelado;Integral;40;264797
SP;UNIVERSIDADE FEDERAL DE SÃO CARLOS;UFSCAR;São Carlos;UNIDADE SEDE;ENGENHARIA MECÂNICA;Bacharelado;Integral;60;264833
SP;UNIVERSIDADE FEDERAL DE SÃO CARLOS;UFSCAR;São Carlos;UNIDADE SEDE;ENGENHARIA QUÍMICA;Bacharelado;Integral;80;264782
SP;UNIVERSIDADE FEDERAL DE SÃO CARLOS;UFSCAR;São Carlos;UNIDADE SEDE;ESTATÍSTICA;Bacharelado;Integral;45;264784
SP;UNIVERSIDADE FEDERAL DE SÃO CARLOS;UFSCAR;São Carlos;UNIDADE SEDE;FISIOTERAPIA;Bacharelado;Integral;40;264786
SP;UNIVERSIDADE FEDERAL DE SÃO CARLOS;UFSCAR;São Carlos;UNIDADE SEDE;FÍSICA;Bacharelado;Integral;25;264852
SP;UNIVERSIDADE FEDERAL DE SÃO CARLOS;UFSCAR;São Carlos;UNIDADE SEDE;FÍSICA;Licenciatura;Integral;25;264851
SP;UNIVERSIDADE FEDERAL DE SÃO CARLOS;UFSCAR;São Carlos;UNIDADE SEDE;FÍSICA;Licenciatura;Noturno;30;264818
SP;UNIVERSIDADE FEDERAL DE SÃO CARLOS;UFSCAR;São Carlos;UNIDADE SEDE;GERONTOLOGIA;Bacharelado;Integral;40;264836
SP;UNIVERSIDADE FEDERAL DE SÃO CARLOS;UFSCAR;São Carlos;UNIDADE SEDE;Gestão e Análise Ambiental;Bacharelado;Integral;40;264834
SP;UNIVERSIDADE FEDERAL DE SÃO CARLOS;UFSCAR;São Carlos;UNIDADE SEDE;IMAGEM E SOM;Bacharelado;Integral;44;264794
SP;UNIVERSIDADE FEDERAL DE SÃO CARLOS;UFSCAR;São Carlos;UNIDADE SEDE;LETRAS - ESPANHOL;Licenciatura;Noturno;20;264795
SP;UNIVERSIDADE FEDERAL DE SÃO CARLOS;UFSCAR;São Carlos;UNIDADE SEDE;LETRAS - INGLÊS;Licenciatura;Noturno;20;264796
SP;UNIVERSIDADE FEDERAL DE SÃO CARLOS;UFSCAR;São Carlos;UNIDADE SEDE;Linguística;Bacharelado;Vespertino;40;264823
SP;UNIVERSIDADE FEDERAL DE SÃO CARLOS;UFSCAR;São Carlos;UNIDADE SEDE;MATEMÁTICA;Licenciatura;Noturno;50;264793
SP;UNIVERSIDADE FEDERAL DE SÃO CARLOS;UFSCAR;São Carlos;UNIDADE SEDE;MEDICINA;Bacharelado;Integral;40;264801
SP;UNIVERSIDADE FEDERAL DE SÃO CARLOS;UFSCAR;São Carlos;UNIDADE SEDE;PEDAGOGIA;Licenciatura;Matutino;45;264837
SP;UNIVERSIDADE FEDERAL DE SÃO CARLOS;UFSCAR;São Carlos;UNIDADE SEDE;PEDAGOGIA;Licenciatura;Noturno;45;264838
SP;UNIVERSIDADE FEDERAL DE SÃO CARLOS;UFSCAR;São Carlos;UNIDADE SEDE;PSICOLOGIA;Bacharelado;Integral;40;264814
SP;UNIVERSIDADE FEDERAL DE SÃO CARLOS;UFSCAR;São Carlos;UNIDADE SEDE;QUÍMICA;Bacharelado;Integral;60;264840
SP;UNIVERSIDADE FEDERAL DE SÃO CARLOS;UFSCAR;São Carlos;UNIDADE SEDE;QUÍMICA;Licenciatura;Noturno;30;264798
SP;UNIVERSIDADE FEDERAL DE SÃO CARLOS;UFSCAR;São Carlos;UNIDADE SEDE;TERAPIA OCUPACIONAL;Bacharelado;Integral;40;264787
SP;UNIVERSIDADE FEDERAL DE SÃO CARLOS;UFSCAR;São Carlos;UNIDADE SEDE;TRADUÇÃO E INTERPRETAÇÃO EM LÍNGUA BRASILEIRA DE SINAIS - LIBRAS/LÍNGUA PORTUGUESA;Bacharelado;Integral;30;264845
